en,ko
Cause we believe,우리가 믿기 때문에
Getting in the swing,리듬에 몸을 싣고
Got all these tears on my piano (all these tears on my piano),내 피아노 위의 이 모든 눈물 (내 피아노 위의 이 모든 눈물)
We go fast with the game we play,우린 우리가 하는 게임을 빠르게 해
"So I'ma light it up like dynamite, woah","그래서 난 다이너마이트처럼 불을 밝힐 거야, 와우"
"Love game intuition, play the cards with spades to start","사랑 게임 직감, 시작은 스페이드로 카드를 내"
"Dirty Diana, no","더티 다이애나, 아니"
I took my baby on a Saturday bang,난 토요일 밤에 내 애인을 데리고 나갔어
"And only you, you","그리고 오직 너, 너"
Let's go!,가자!
Something whispers in my ear and says,무언가가 내 귀에 속삭였어
Take you down another level,널 또 다른 수준으로 데려갈게
"My room singing Michael Jackson (hee, hee)","내 방에서 마이클 잭슨을 부르던 시절 (히, 히)"
I thank you so much for the person listening to this right now,지금 이걸 듣는 사람에게 정말 감사해
When I see your face,네 얼굴을 볼 때
You gave me roses and I left them there to die,"넌 장미를 줬고, 난 그걸 그냥 두어 시들게 했어"
I don't think so,난 그렇게는 못해
While I kill you in your sleep,네가 잠든 사이에 널 죽이는 동안
One day I'll watch as you're leaving,언젠가 네가 떠나는 걸 지켜보겠지
Will you still care,넌 여전히 신경 써줄 거니
"I gotta know why can't you, why can't you just let me go?",왜 넌 날 그냥 놔줄 수 없는지 알아야 해
"Where I'm coming from, yeah","내가 어디서 온지, 그래"
Cause your eyes are like an ocean,네 눈은 바다 같아서
"Baby, don't make me","베이비, 그렇게 만들지 마"
"Flash forward, and we're taking on the world together","플래시 포워드, 우린 함께 세상에 맞서고 있어"
Keep slowing your heart down,너의 마음을 천천히 가라앉혀
"And all my walls stood tall, painted blue",그리고 내 벽들은 푸르게 칠해져 높이 서 있었어
"Show me atten', yeah","관심 보여줘, 예"
Oh my God,오 마이 갓
"Yeah, you like the way I move","그래, 넌 내가 움직이는 방식이 좋아"
What? Ay,뭐? 에이
"Oh yeah, you can keep me warm on a cold night","오 그래, 넌 추운 밤에 날 따뜻하게 해줄 수 있어"
I am here with you (I am here with you),난 여기 너와 함께 있어 (난 여기 너와 함께 있어)
Might not be quite yet healed or ready,아직 완전히 치유되지 않았거나 준비되지 않았을지도 몰라
"Grips on your waist, front way, back way","허리를 감싸고, 앞에서, 뒤에서"
"Yeah baby you're a liar, sitting by the fire","그래 베이비 넌 거짓말쟁이야, 불가 옆에 앉아 있고"
Just Lift Yourself,그냥 스스로를 들어 올려
"Líberate, mi amor","해방시켜줘, 내 사랑"
For you are not alone (You are not alone),넌 혼자가 아니야 (넌 혼자가 아니야)
Don't you buy me nothing (don't you buy me nothing),아무것도 사주지 마 (아무것도 사주지 마)
And you know that I need you,그리고 넌 내가 널 필요로 한다는 걸 알잖아
And what I think about,그리고 내가 생각하는 건
"Tossing, turning",뒤척이며
When we start sayin' things,우리가 말하기 시작하면
"You're on the phone with your girlfriend, she's upset","네가 여자친구와 통화 중이네, 그녀는 화가 났어"
Be all you need 'til the day that I die,내가 죽는 날까지 네가 필요한 전부가 될게
And my frustrations be heard and nothing,내 좌절감은 들리지만 아무것도 달라지지 않아
What am I gonna do now?,이제 난 뭘 해야 하지?
I promise it won't get broken,부서지지 않을 거라 약속해
"Photo album on the counter, your cheeks were turning red","카운터 위의 앨범, 네 뺨은 빨갰지"
Can't you see that I'm the one who understands you?,내가 널 이해하는 사람인 걸 못 보겠어?
"Twenty years at your job, then the son of the boss","20년 직장에 몸담고, 보스의 아들이"
"So I don't lose my mind, baby, yeah","내가 미치지 않게 해줘, 자기야, 그래"
"If being fine was a crime, girl, they'd lock your lil' fine ass up in a tower","잘생김이 죄라면, 소녀야, 널 탑에 가두었을 거야"
Through the storm and through the clouds,"폭풍을 지나, 구름을 지나"
"Fuck that, I let you pull up on me broad day light","젠장, 낮인데도 네가 다가오는 걸 허락했어"
The moon and its eclipse,달과 그 달식
"And I would not lie, baby you","난 거짓말하지 않아, 베이비, 너니까"
"That place we went the last time, the last time","지난번에 갔던 그곳, 마지막으로 갔던 그곳"
"That's on my life, but regardless","내 인생에 걸겠어, 하지만 어쨌든"
But twins could be cool,쌍둥이도 멋질 수 있지
"With you, shawty with you","너와 함께, 샤우티 너와 함께"
Maybe I'm just a ghost,어쩌면 난 그냥 유령일지도 몰라
All I know is I was enchanted to meet you,내가 아는 건 널 만나서 난 황홀했다는 것뿐이야
So she just can't be mine,그러니 그녀는 내 것이 될 수 없구나
"Waistline on four deep, senses on forty","허리는 네 겹, 감각은 사십 배"
Bury the hatchet or bury your friend right now,지금 당장 도끼를 묻거나 친구를 묻어
And you would hide away and find your peace of mind,넌 숨어서 평온을 찾곤 했어
"Oh, I just wanna take you anywhere that you'd like","오, 난 널 네가 원하는 어디든 데려가고 싶어"
"Back up, back up and whine up (where, where, where, where)","물러서, 물러서고 더 크게 흔들어 (어디, 어디, 어디, 어디)"
Always try to ride those paper planes,항상 종이비행기를 타려 애쓰고
"But stay with me a minute, I swear I'll make it worth it","그러니 잠시만 더 있어줘, 맹세할게 그만한 가치가 있게 할게"
He ain't a man sure as hell ain't honest,"그는 남자가 아니야, 확실히 정직하지 않아"
I'ma let you fade into the background,널 배경 속으로 사라지게 할 거야
Right when I need it the most,내가 가장 필요할 때
"And again, and again, and again, and again","다시 또, 또다시, 또다시, 또다시"
"And if they could, they'd say","그리고 만약 그들이 할 수 있다면, 말할 거야."
Tell me what you want to do,네가 하고 싶은 걸 말해줘
Oh-oh,오-오
I was scared of dentists and the dark,난 치과와 어둠이 두려웠어
"Got other things I need my mind on, yeah","다른 신경 쓸 것들도 있어, 그래"
"Cause we're onto something beautiful, oh oh","우린 뭔가 아름다운 걸 발견했어, 오 오"
"I want your horror, I want your design","네 공포를 원해, 네 디자인을 원해"
The ruins of the day painted with a scar,하루의 유적이 흉터로 채색되어
Gimme right attention or I'll start drowning from my wrist,"정당한 관심을 줘, 안 그러면 손목부터 빠져 죽을지도 몰라"
"On my mind, I become somebody else","내 마음속에서, 난 누군가로 변해가네"
"And even now, baby, I'm still not okay","지금도, 자기야, 난 여전히 괜찮지 않아"
And everyday I fall,그리고 매일 나는 쓰러져
"One, two","하나, 둘"
And all your friends say he's the one,그리고 네 모든 친구들은 그가 그 사람이라고 말해
I want your love,네 사랑을 원해
But all the things that you've seen slowly fade away,하지만 네가 본 모든 것들이 서서히 사라져 가
Thursday (Woah),목요일 (와우)
"You tell me that you're hurt, and you're in pain",네가 아프고 고통스럽다고 말하네
With his hands in his pockets and his crocodile feet?,"주머니에 손을 넣고, 악어 발을 가진 그 남자는?"
"Hot like summer, yeah, I'm making you sweat like that (break it down)","여름처럼 뜨겁게, 널 땀 흘리게 만들어 (부숴봐)"
I can see it in your face,네 얼굴에 그게 보여
Don't you know I'm loco?,내가 미쳤다는 걸 모르겠어?
Lift off and say goodbye,출발하고 작별을 말해
And after all the drinks and bars that we've been to,우리가 가봤던 모든 술과 바들 뒤에
That makes it happen,그게 일어나게 만드는 건
I haven't been around my town in a long while,오랜 시간 내 고향에 돌아가지 못했어
Life is dynamite (Life is dynamite),인생은 다이너마이트야 (인생은 다이너마이트)
My plan is to figure out the world and escape all my demons,내 계획은 세상을 이해하고 내 악마들을 벗어나는 것
My friends say I'm a fool to think,"내 친구들은 내가 바보라 말하지,"
The things I'd do just to take me back,다시 데려가려고 내가 할 일들
Happy I'm alive at the same time as you,너와 같은 시대에 살아 있어서 행복해
Now you're gonna realize,이제 넌 깨닫게 될 거야
Like a Reese's butter cup,마치 리스의 버터컵 같아
And she's perfect and I hate it,"그리고 그녀는 완벽해, 난 그것이 싫어"
But I took your matches before fire could catch me,하지만 난 네가 불을 붙이기 전에 성냥을 빼앗았어
Lobster tail for dinner,저녁은 바닷가재 꼬리 (그래)
So come and sip it 'til the last drop,그러니 와서 마지막 한 방울까지 홀짝여
They're stunned by all your charm,모두가 너의 매력에 놀랐어
Doesn't have to end,끝날 필요는 없어 (아-아)
"I knew I had to get you, whatever the pain","널 얻어야만 한다는 걸 알았어, 어떤 고통이 있더라도"
I said if you're thinking of being my brother,네가 내 형제가 될 생각이라면 말해
Put that cocaine on a plate,그 코카인을 접시에 올려놔
"Everywhere I go, I'ma have my own theme music",어디를 가든 내 테마 음악이 있을 거야
"With my hands, hands, hands above my head","내 손으로, 손으로, 손으로 머리 위로"
"And only you, you","그리고 오직 너만, 너"
As God has shown us by turning stone to bread,신이 돌을 빵으로 바꿔주심으로 보여주셨듯이
So stop tryna' get to me,그러니 날 향해 오려 하지 마
Tell me how we're not alike,우리가 어떻게 다르지 않은지 말해줘
But havin' it's so strange,하지만 그걸 갖는 건 너무 이상했어
"It's like ""Do you even miss me?","넌 날 그리워라도 하냐?"" 같은 느낌이야"
"Red Nike high-tops, listening to hip-hop",빨간 나이키 하이탑 신고 힙합 듣고
If I could just die in your arms,그냥 네 품에서 죽을 수만 있다면
You know that I bought it,내가 그걸 샀다는 걸 알지
If it ain't broke then we don't need to fix it,망가진 게 아니면 고칠 필요 없어
Do you still feel the f-?,아직도 그 불길을 느껴?
I'm not sentimental,난 감상적이지 않아
You might see me in the spot,넌 아마도 날 그 자리에 보게 될 거야
And I know,그리고 난 알아
Beam me up like Scotty (baby gal),스코티처럼 날 올려줘 (베이비 걸)
Maybe all the stars in the night are really dreams (All the stars),아마 밤하늘의 모든 별들이 사실은 꿈일지도 몰라 (모든 별들)
It's alright to hate me now,지금 날 미워해도 괜찮아
All that we need,우리가 필요한 모든 것
I don't know,모르겠어
"I want your love, I don't wanna be friends","난 네 사랑을 원해, 친구가 되고 싶지 않아"
So I don't lose my mind,내 정신을 잃지 않게
I wasn't looking for nobody when you looked my way,"네가 날 본 그 순간, 난 아무도 찾고 있지 않았어"
And who gave you the right to shake my family tree?,누가 너에게 내 가계도를 흔들게 할 권리를 줬어?
"Girl call out my name and I'll be on my way, girl","소녀야 내 이름을 불러, 그러면 난 갈 거야, 소녀야"
Palm to palm,손바닥과 손바닥
"So if you don't mind, I'll walk that line","괜찮다면, 내가 그 선을 걸을게"
But I can't without you,하지만 너 없인 못 해
You got to be startin' somethin,넌 뭔가 시작해야 해
I'm not sure how I got there,내가 어떻게 여기에 오게 됐는지 모르겠어
"But at first light, throw my arms out open wide","하지만 동이 틀 때, 팔을 크게 벌려"
"And everything I own, I'd give (see)",내가 가진 모든 것을 줄게 (봐)
So I'ma get stronger,그러니 난 더 강해질 거야
There's something about your laugh that it makes me want to have to,네 웃음엔 뭔가 있어서 나도 갖고 싶게 만들어
"Be the change, be yourself","변화가 되고, 너 자신이 되어"
I've been here times before,난 전에 여러 번 여기 있었어
"Yes, we're one and the same","그래, 우린 같은 존재야"
And they still tell the legend of how you disappeared,그들은 여전히 네가 어떻게 사라졌는지 전설처럼 말해
"But now we're rockin' on the dance floor, actin' naughty",하지만 이제 우린 댄스플로어에서 흔들며 장난치고 있어
We french kissed on a subway train,우린 지하철에서 프렌치 키스했어
"Baby, I promise (hold my hand) that I'll do all I can (hold my hand)","베이비, 약속할게 (내 손을 잡아) 내가 할 수 있는 건 다 하겠다고 (내 손을 잡아)"
Tell me you (love me),네가 날 (사랑한다고) 말해줘
So just turn off the lights,그러니 불을 꺼
And folks dressed up like Eskimos,그리고 사람들은 에스키모처럼 차려입고
I know the way he did you was whack,그가 널 대했던 방식이 엉망이었던 걸 알아
Yeah,그래
It's second nature to walk home before the sun goes down,해가 지기 전에 집에 가는 게 본능이 되어버렸어
Cos in my soul we know where we're goin,왜냐면 내 영혼 속에서 우린 어디로 가는지 아니까
"Maybe this time, I'll be yours, you'll be mine","이번엔 아마, 난 네 거고 넌 내 거겠지"
"It's in my heart and in my head, you can't take back the things you said","네가 한 말을 되돌릴 수 없어, 내 마음과 머릿속에 있어"
"Tell me, God is real",신이 진짜라고 말해줘
"I said, ooh, I'm blinded by the lights","내가 말했어, 우, 불빛에 눈이 멀어"
Standing right outside my door,바로 내 문 바로 밖에 서 있어
Tiny tots with their eyes all aglow,작고 어린 아이들이 눈을 반짝이며
Seen anybody do it like I do it any better,"누가 나처럼, 더 잘해내는 걸 본 적 없어"
Yellow diamonds in the light,빛 속의 노란 다이아몬드
Would he treat you like I would? (Like I would),그가 널 내 방식대로 대하겠니? (내가 하듯이)
"This is getting heavy, can you hear the bass boom, I'm ready","점점 무거워지고 있어, 베이스 붐 소리 들리니, 난 준비됐어 (오-오)"
"Of this mansion, what's happening?","이 저택에서, 무슨 일이야?"
And I'll love you like I should've loved you all the time,그리고 난 늘 사랑했어야 할 방식으로 널 사랑할 거야
I'll breathe you in forever and ever,"난 영원히, 영원히 널 들이마실 거야"
All you gotta do is trust that I'm being true,네가 해야 할 건 내가 진실하단 걸 믿는 거야
"Just don't wanna be, don't wanna be alone",그냥 외롭고 싶지 않아
"I got a list of names, and yours is in red, underlined","나에겐 이름 목록이 있고, 네 이름은 빨간 밑줄로 돼 있어"
"You know I glow up (hey, let's go)","넌 내가 빛나는 걸 알잖아 (헤이, 가자)"
"I know I'm super fly (I know), I know I'm super fly","난 내가 엄청 멋지다는 걸 알아 (알아), 난 내가 엄청 멋지다는 걸 알아"
Come show up at your door,네 문앞에 나타나
"Use your muscle, carve it out, work it, hustle","네 힘을 써, 조각하고, 일하고, 서두르고"
I wish we would've known what we know now,우리가 지금 아는 걸 그때 알았더라면
Knowin' I'm desperate,내가 절박하다는 걸 알면서
"Help, need a man, now show me your fangs","도와줘, 남자가 필요해, 이제 이빨을 보여줘"
I see there's something burning inside you,너 안에 불타는 게 있다는 걸 봐
"Than tryna be without you girl, girl","널 없이 있으려 애쓰는 것보다, 소녀여"
So you can slowly take off your clothes,천천히 옷을 벗어도 돼
"Down for the ride, down for the ride","함께할 거야, 함께할 거야"
Won't you shut up? Know you're my favorite,닥쳐줄래? 넌 내가 제일 좋아하는 사람이야
Then I took a look to see before it activates the ringer,벨이 울리기 전에 살펴봤지
"Nobody, nobody","아무도, 아무도 (헤이)"
"So come on, yeah","자, 그래"
"Wake up, yeah, makeup, maybe","일어나, 그래, 화장하고, 어쩌면"
But never mind you're here right now don't you mistake it,지금 네가 여기에 있다는 걸 착각하지 마
"Overanalyzed it, front, back, and beside it",앞뒤좌우로 과하게 분석했고
"Yeah, you know word of mouth","그래, 입소문 알지"
"I got that yum-yum, I got that yum-yum","난 그 달콤함을 가졌어, 난 그 달콤함을 가졌어"
Your pussy basura (basura),네 보지는 쓰레기야 (쓰레기)
"Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh","우우, 우우-우우-우우-우우-우우-우우-우 (에이)"
But what's better than that?,그런데 그보다 더 좋은 게 뭐지?
The way I wear my noose,내가 내 목줄을 차는 방식
Put your hands on me,내게 손을 얹어줘
"I'ma be happy, happy","난 행복할 거야, 행복해"
You gon' need to tell my brothers where you from,내 형제들에게 네가 어디서 왔는지 말해야 할 거야
A girl need a lot,여자는 많은 걸 필요로 해
I'm heading home,집으로 가고 있어
If I'm here with you,네 곁에 있다면
"How's life? Tell me, how's your family?",잘 지내? 네 가족은 어때?
Gold's fake and real love hurts,금은 가짜지만 진짜 사랑은 아파
Just let me motherfuckin' love you,그냥 제발 널 사랑하게 해줘
"You'll be the prince, and I'll be the princess","넌 왕자가 되고, 난 공주가 될 거야"
"I'll never play ya, I'll find a way to","난 절대 널 속이지 않을 거야, 방법을 찾을 거야"
So you can try all you want,그래도 넌 원하는 만큼 시도해도 돼
I'm sorry I'm so clingy I don't me to be a lot,"집착해서 미안해, 많이 그러려던 건 아니야"
Cause you know when you hear me knockin,왜냐면 내가 두드리는 소리를 네가 알 테니까
"And of course, somebody's always gonna say something",물론 누군가는 항상 무언가를 말하겠지
"Swear the room, yeah, got no ceiling",방은 맹세하듯 천장이 없는 것 같아
Why'd you come around me with an ass like that?,왜 그런 몸매로 내 앞에 나타난 거야?
That's the way you work that one,그게 네가 그걸 다루는 방식이야
Got me fallin' in love,널 사랑하게 돼
"Girl, let's groove","자기야, 함께 그루브를 타자"
"Now, what d'ya have that's so inviting?","이제, 그렇게 매혹적인 게 뭐야?"
Breathe you in 'til I hallucinate,널 들이마시며 환각이 올 때까지 (음)
I could spend a thousand nights right here inside this room,이 방에서 천 밤을 보낼 수도 있어
"While you're callin' me ""baby","네가 날 ""베이비""라 부를 때"
"That's a merry, merry Christmas","그건 정말 즐거운, 즐거운 크리스마스야"
We got something better,우린 더 좋은 걸 가지고 있어
"When I tell you you're the one that was on my mind, oh","내가 너에게 말했을 때 네가 내 마음에 있었던 사람이었어, 오"
The kind of radiance you only have at 17,17살 때만 나던 그런 빛이야
And that was when I ruled the world,그때가 내가 세상을 다스리던 때였지
"Got you stuck up in my head, yeah","네가 내 머릿속에 박혀 있어, 그래"
Thinking 'bout the way I was,내가 어땠는지 생각해봐
We could make this official (for sure),우리는 이걸 공식적으로 만들 수 있어 (확실히)
This cowboy's running from himself,이 카우보이는 자신에게서 도망치고 있어
"Please don't stop the, please don't stop the music","제발 멈추지 마, 제발 음악 멈추지 마"
And get you dancin' with the devil,악마와 춤추게 될 거야
Cause if you think I care about you now,지금 내가 널 신경 쓴다고 생각한다면
It better not be her again,다시는 그녀가 아니길 바라
I'm so starstruck (struck),난 너무 반했어 (반했어)
"I wonder if I'm just a villain, dealing my morals away","내가 악당인지, 내 도덕을 팔아먹는 건 아닌지 궁금해"
I can't let you be next to me,널 내 옆에 둘 수는 없어
Tangled up with you all night,밤새 너와 얽혀 있겠지
Kids were laughing in my classes,아이들이 내 수업에서 웃곤 했지
"Too much, it ain't too much stuff (jam)","너무 많아, 이건 너무 과한 게 아니야 (잼)"
"I can't believe, I can't believe I'm not afraid anymore","믿을 수 없어, 믿을 수 없어, 더는 두렵지 않다는 걸"
Cause I just can't stop loving you,난 그냥 널 사랑하는 걸 멈출 수가 없어
"Every time we say goodbye, baby, it hurts","매번 우리가 작별 인사를 할 때마다, 사랑아, 아파"
The shell of a man who could never be his best (be his best),최선을 다할 수 없던 남자의 껍데기 (최선을 다할 수 없던)
"Out of my mind, out of my mind","내 정신이 나가, 내 정신이 나가"
"We ain't in a hurry, rushin' into love","우린 서두르지 않아, 사랑에 성급히 뛰어들지 않아"
Has got me lost in a haze,나를 안개 속에 빠지게 해
Does it ever?,그게 언제쯤?
But there's no one sitting there,하지만 아무도 거기 앉아 있지 않아
We can just dance to this,우린 그냥 이 노래에 춤출 수 있어
"How I'm wrong, always wrong","어째서 난 항상 틀릴까, 늘 틀려"
I used to believe,난 믿곤 했었어
"Kiss me, boy, and drive me crazy","키스해줘, 소년아, 날 미치게 만들어줘"
No Message Could Have,어떤 메시지도
"Ask about me ('bout me), I'm gon' bust a move","나에 대해 물어봐, 난 행동으로 보여줄 거야"
Don't start now,지금 시작하지 마 (오)
Stop me making sense once again,다시 내 이성이 말문을 닫게 해줘
Then I don't know what is,그럼 난 뭘 몰라
"Boy, I'm a treasure","난 네 남자친구야, 넌 보물이지"
I hallucinate when you call my name,네가 내 이름을 부를 때 난 환각을 봐
Till they find me lying dead on my back,그들이 내 등을 대고 누워 죽어 있는 걸 찾을 때까지
Wrap me 'round your fingertips,네 손끝에 날 감싸줘
Kind of love we make,우리가 만드는 그 사랑
"Oh, that ain't doin' too much","오, 그 정도면 충분해"
"I should be making a list, I know","목록을 만들어야 해, 알아"
I used to love these sheets,난 이 침대 시트를 사랑했었어
Let me show you 'round my hood,우리 동네를 보여줄게
"I know that you'd do the same, born again","너도 같은 일을 할 줄 알아, 다시 태어나"
"But this time, I let you be","하지만 이번엔, 난 널 그냥 두겠어"
Spill my words and tear me down until there's nothing left,내 말을 쏟아내고 날 부셔서 아무것도 남지 않게 해
"I'd give you all my love, if I was unbreakable",깨지지 않는다면 너에게 내 모든 사랑을 줄 거야
Titties out like blaka (blaka),가슴 드러내고 블라카 (블라카)
"Damn, who knew?","젠장, 누가 알았겠어?"
"Hit the ground, hit the ground, hit the ground, oh, oh","땅에 쓰러져, 땅에 쓰러져, 땅에 쓰러져, 오, 오"
Sayin' I should give you up,널 포기해야 한다고 말해
And Batman with his fists,그리고 주먹을 가진 배트맨
"We don't gotta lay low, we grown","우린 숨을 필요 없어, 우린 어른이야"
Cause you really miss dem days,네가 그 시절을 정말 그리워하니까
"And you will never feel this beautiful (beautiful, ohh)","그리고 너는 이렇게 아름답게 느껴본 적이 없을 거야 (아름답게, 오오)"
They can't take what's ours,그들이 우리의 것을 빼앗을 순 없어
Love slipped beyond your reaches,사랑은 네 손이 닿지 않는 곳으로 미끄러져 갔어
I'd like to see 'em try,그들이 해보라고 해봐
"I'm the problem, it's me","문제는 나야, 나야"
If we could find some place to hide,숨을 곳을 찾을 수만 있다면
All our fears became our hopes,우리의 모든 두려움이 희망으로 변했어
It's been way too long,너무 오랜 시간이 흘렀어
I know he's just not right for you,그가 너에게 맞지 않는다는 걸 알아
We're dancin' all alone,우린 단둘이 춤추고 있어
"Tonight we gon' ball like Ginobili, you know me","오늘 밤 우린 지노빌리처럼 경기할 거야, 나 알지?"
All the lies you have to say I do,"네가 하는 모든 거짓말들, 내가 한다고 말해야만 하네"
Don't be confused by my smile,내 미소에 속지 마
Change is coming my way,변화가 내게 오고 있어
(Shine your light on me),(나에게 네 빛을 비춰줘)
I wouldn't say that to you if it wasn't true,그게 사실이 아니었다면 널 그렇게 부르지 않았을 거야
I'm stayin' mad all day so we can let it out tonight,"난 하루 종일 화난 채로 있어, 오늘 밤에 풀어내려고"
"Everybody loves pretty, everybody loves cool","모두가 예쁜 걸 좋아하고, 모두가 멋진 걸 사랑해"
"Cutlass sittin' high, I feel like I can fly","컷라스가 높이 서있어, 난 날 수 있을 것 같아"
(Never let you go) Whoa,(절대 놓지 않을게) 워
Make That Change.,그 변화를 만들어라.
And said,그리고 말했어
Save your tears for another,눈물은 다른 날을 위해 아껴둬
"Michael, we're not going to fight about this, okay?","마이클, 우리 이걸로 싸우진 말자, 알았지?"
He's in the club doin' I don't know what,그는 클럽에서 뭘 하는지 모르겠어
I miss them now that they're gone,이제 그게 사라지니 그리워
Buy all of the things I never had (buy everything),내가 한 번도 가져본 적 없는 모든 것들을 살 거야 (모든 걸 사)
"No, I could never have too much","아니, 난 절대 충분하지 않다고 말 못해"
Got me acting hella thotty,나를 완전 섹시하게 만들었어
"Ice on my wrist, yeah, I like it like this","손목의 얼음, 그래, 난 이렇게 좋아해"
When you say that he's the one that you want,네가 원하는 사람이 그라고 말할 때
Someone else is gettin' all the love you never gave,다른 누군가가 네가 주지 않았던 모든 사랑을 받고 있어
"But I'ma touch you right, ooh, yeah","하지만 널 제대로 만질 거야, 오 우, 예"
Forgot how it feels,느낌을 잃어버렸어
Baby keep on dancing,"자기야, 계속 춤춰"
"But we in this bitch, bitch","하지만 우리는 여기 있어, 여기"
I got 21 reasons why I do,나는 내가 하는 이유가 21가지가 있어
As long as you know that when I land you're mine (didn't come over),내가 도착하면 넌 내 거라는 걸 알기만 하면 돼 (오지 않았대)
So go on and get to clappin' (clap),그러니 박수 치며 가자 (짝)
You'll never love yourself half as much as I love you,넌 절대 내가 널 사랑하는 만큼 자신을 사랑하지 않을 거야
"I'm tryna float, I'm tryna glide","나는 떠다니고 있어, 나는 미끄러지고 있어"
Saw you there and I thought,거기서 널 보고 난 생각했어
By once or twice I mean maybe a couple a hundred times,한두 번이라고 말할 때 사실은 수백 번쯤이라는 뜻이야
My lonely days are gone,내 외로운 날들은 끝났어
"Tonight I'm not taking no calls, 'cause I'll be dancing","오늘 밤 난 전화를 받지 않을 거야, 춤추고 있을 테니까"
"Only you, can fix me",오직 너만이 날 고칠 수 있어
Ever since the d-day y-you went away (someone tell me how),"그날 이후로, 네가 떠난 그날 이후로 (누가 내게 좀 말해줘)"
"Thinking, oh that, baby, I was wrong","생각해보면, 오 그때, 자기야, 내가 틀렸어"
You said it was love,넌 그게 사랑이라고 말했어
You always reassure me,넌 늘 날 안심시켜줘
I'm always waiting for you to be waiting below,난 네가 아래서 기다리길 항상 기다려
I could still hear your voice,여전히 네 목소리가 들려
"I'm just trying to get you high (I'm just trying, baby)","널 취하게 하려는 것뿐이야 (그냥 하려는 거야, 베이비)"
"I guess it's over indefinitely, but you and I know","영원히 끝난 것 같지만, 너와 나는 알잖아"
I've got my tongue between your teeth,내 혀가 네 이 사이에 있어
Dancing with,춤추며
I just wonder what you're dreaming of,네가 무슨 꿈을 꾸는지 궁금해
"We'll make a vow, for now, that we just","지금은, 우리 이렇게 맹세하자"
You've set my heart on fire.,넌 내 심장을 불태웠어.
Hoping that my voice will remind you (when the radio comes on),내 목소리가 너를 떠올리게 하길 바라며 (라디오가 켜질 때)
And hope to die,죽을 때까지 약속해
This is looking like a contest,이건 마치 경쟁처럼 보이네
Maybe the sky will fall down on tomorrow,아마 하늘이 내일 무너질지도 몰라
All I want is you this Christmas,"내가 원하는 건 오직 너, 이번 크리스마스에"
"And I'd doubt if it was mine, all mine",그리고 내가 전부 내 것인지 의심도 해
Say what i am feeling now,지금 내가 느끼는 걸 말해
Love,사랑
We're running,우린 달리고 있어
So clear to me now,이제는 내게 너무 분명해
"I know your every move, so won't you please let me be?","난 네 모든 행동을 알아, 그러니 제발 날 그냥 두지 않겠니?"
When I'm holding my breath?,내가 숨을 참고 있을 때?
And I pray that you'll lift me when you know I need help,내가 도움이 필요할 때 네가 날 들어 올려주길 기도해
What happened?,무슨 일이 일어난 거야?
"It's a little bit funny, this feeling inside",이 안에서 느껴지는 이 감정이 조금 우스워
"Stay awhile, baby, come on","잠시 머물러 줘, 베이비, 어서"
Back to where we came from (came from),우리가 온 그곳으로 돌아가 (왔던 곳으로)
I didn't know what I would find,무엇을 찾게 될지 몰랐어
What now?,이제 어쩌지?
Before I change my mind,내 마음이 바뀌기 전에
Ooh,오우
I was broken from a young age,어린 시절부터 나는 부서져 있었어
"But, I can't control my mind","하지만, 내 마음을 통제할 수가 없어"
Don't be scared,겁내지 마
"You and me can make it up, anyway",너와 나는 어떻게든 이겨낼 수 있어
Lips so good I forget my name,너의 입술이 너무 좋아 내 이름도 잊어버려
"Just between us, did the love affair maim you all too well?","우리 사이에서만, 그 연애가 널 너무 다치게 했니?"
The fountains and the waters are begging just to know ya,분수와 물들이 널 알기 원하고 있어
"I'm talking loud, not saying much",크게 말하지만 별 말 없네
You keep tearing me apart,넌 계속 나를 갈가리 찢어
And I know she'll be the death of me,그리고 난 그녀가 내 죽음이 될 줄 알아
Let's go out on the street,거리로 나가자
You are the one,당신이 바로 그 사람
But tell me again,하지만 다시 말해줘
For you,널 위해
To say we all make mistakes (we all make mistakes),우리가 모두 실수한다 말하기 위해서 (우린 모두 실수해)
"Keep your head up, shoot the clouds down","고개를 들어, 구름을 쏘아 떨어뜨려"
"Pray it away, I swear, I'll never be a saint","기도로 없애버려, 맹세해, 난 절대 성인이 되지 않을 거야"
"What if, what if we lost our minds?",정신을 잃는다면 어쩌지?
One day you'll realize I'm more than your lover,언젠가 넌 내가 단순한 연인 이상이란 걸 깨닫겠지
"And every time I look at you, it's like the first time","그리고 널 볼 때마다, 마치 처음 보는 것 같아"
It doesn't matter if we're never rich or famous,우리가 절대 부자나 유명인이 되지 않아도 상관없어
"They say, ""All's well that ends well"" but I'm in a new hell every time","사람들은 ""끝이 좋으면 다 좋다""라고 말하지만 난 매번 새로운 지옥 속에 있어"
Just smile and wave and be okay,그냥 미소 짓고 손 흔들며 괜찮은 척해
"Yeah, baby","그래, 베이비"
"Inside a killer, thriller, tonight, yeah","킬러, 스릴러 안에서, 오늘 밤, 예"
"Don't be shy, take control of me","부끄러워하지 마, 날 지배해"
And he can't make you feel this pretty (pretty),그는 널 이렇게 예쁘게 느끼게 해줄 수 없어 (예쁘게)
Let's get it in expeditiously,서둘러 해보자
(I want you all) waiting is insane,(난 너를 원해) 기다리는 건 미친 짓이야
