en,ko
"In my arms, babe","내 품 안에서, 자기야"
"Oh, I wanna know when I can go","오, 난 알고 싶어, 언제 내가 돌아가서"
"Here, here I'll take you","여기, 여기서 널 데려가"
Everybody said it would hurt in the end,모두들 끝엔 아플 거라고 했어
"And who gave you the right to scare my baby, she needs me","누가 너에게 내 아기를 겁주게 할 권리를 줬어, 그녀는 내가 필요해"
You give love a bad name (bad name),넌 사랑에 나쁜 이름을 붙여 (나쁜 이름)
"Ooh, girl, do you think they'll notice if we slip away?","오, 자기야, 우리가 몰래 빠져나가도 그들이 눈치챌까?"
Enjoy your privileged life,특권 있는 삶을 즐겨
And imagine that we were kings,"그리고 상상해봐, 우리가 왕이었다면"
But the grass ain't always greener on the other side,다른 쪽 풀이 항상 더 푸르진 않아
Come on (come on),어서 (어서)
Don't build your hopes to be let down,희망을 쌓아 두고 무너뜨리지 마
And I call it superpower,그리고 난 그걸 초능력이라고 불러
And you can always count on me,그리고 넌 언제나 날 믿을 수 있어
Without you,네가 없으면
Listen to your heart,네 마음의 소리를 들어
She told me that she love that I make music for God,"그녀는 말했어, 내가 신을 위해 음악 만든다는 게 좋다고"
But I've never seen you before,하지만 난 전에 널 본 적이 없어
I made my biggest blessing,내가 가장 큰 축복을 만들었어
Alone,혼자
We ain't gonna sleep all weekend,우린 주말 내내 잠들지 않을 거야
Don't you know your imperfections is a wonderful blessing,너의 불완전함이 멋진 축복이라는 걸 모르니
So leave it on my brain if you feel the same,같은 감정이면 내 머릿속에 남겨둬
"I apologize, but I","미안해, 하지만 난"
No matter what the price (one more time? Aight),무슨 대가를 치르더라도 (한 번 더? 좋아)
Tiny tots with their eyes all aglow,작고 어린 아이들이 눈을 반짝이며
I've been painting every fence I know,난 아는 모든 울타리를 칠해왔어
Play the victim and switch your position,희생자 행세하고 네 위치 바꾸려 하지 마
"Said it, ain't nobody's business",그건 아무도 신경 쓸 일이 아니라고 말했어
"Baby, you light up my world like nobody else","베이비, 넌 누구보다도 내 세상을 밝혀"
You start to feel like you're losing your shine,네 빛이 사라지는 기분이 들기 시작해
What would I do if you were gone?,네가 없으면 난 어떻게 할까?
"Oh boy, we looking good tonight","오 보이, 오늘 밤 우린 멋져 보여"
Just slide your way on over (slide your way on over),그냥 미끄러지듯 다가와 (미끄러지듯 다가와)
Let's do it one more time,한 번 더 하자
Hey,헤이
"I've been too long, I'm glad to be back","너무 오래였어, 돌아와서 기뻐"
"And I love to fix 'em (and I love to fix 'em, no one's perfect)","그리고 난 고치는 걸 좋아해 (고치는 걸 좋아해, 완벽한 사람은 없어)"
"We can make it right, hit the city lights","우린 바로잡을 수 있어, 도시의 불빛을 느끼자"
"Begging for our help, wow","우리의 도움을 구걸해, 와"
"So baby, don't stop me","그러니 자기야, 날 멈추지 마"
Now I'm feeling drunk and high,이제 난 취하고 황홀해
"I want it bad, your bad romance",난 네 나쁜 로맨스를 몹시 원해
Sorry,미안해
People everywhere and all our Twitter followers,"사람들이 여기저기, 우리 트위터 팔로워들까지"
You better say that shit,넌 반드시 그 말을 해야 해 (어)
One touch in my ignite,한 번의 접촉이 날 점화시켜
"Oh, she cried, an angel cried","오, 그녀가 울었어, 천사가 울었어"
"La-la-la, la-la-la-la (I need you, baby)","라-라-라, 라-라-라-라 (난 네가 필요해, 자기야)"
I would've stayed at home,나는 집에 있었을 텐데
"If you want, take a peek and run away",원하면 슬쩍 보고 도망가도 돼
Yes you can!,"그래, 넌 할 수 있어!"
Full of ecstasy and fire,황홀과 불꽃으로 가득 찼어
"Three, two, one","셋, 둘, 하나"
But I'm not the kinda man to take the easy road,하지만 난 쉬운 길로 가는 사람이 아냐
Then yer on your knees and pray,그때 네가 무릎 꿇고 기도해
And roll your eyes with affection,눈을 애정 어린 눈빛으로 굴리고
Today I'm kinda feelin' like a ghost,오늘은 좀 유령처럼 느껴져
"You'll always be the one that I wanna come home to, girl","넌 항상 내가 집에 돌아오고 싶은 사람일 거야, 소녀야"
Who'll throw it all away,누가 모든 걸 던져버릴까
"No, I wouldn't have done all the things that I've done","아니, 내가 했던 모든 일들을 하지 않았을 거야"
"You said I don't try, but I tried my heart",넌 내가 안 노력한다고 했지만 난 진심 다했어
"My fears, my hopes and dreams","나의 두려움, 나의 희망과 꿈들"
As my kiss goes down you like some sweet alcohol,내 키스가 내려갈 때 넌 달콤한 술 같아
"And, baby, when it's love, if it's not rough, it isn't fun (fun)","그리고 자기야, 사랑일 때는 거칠지 않으면 재미없어 (재미없어)"
Laying on the screen,화면 위에 누워
"Diamonds are forever, but all we need is just tonight","다이아몬드는 영원하지만, 오늘 밤만이면 충분해"
"Buddy, you're a young man, hard man","친구야, 넌 젊은 남자, 강한 남자"
Feeling like a boulder hurtling,거대한 바위처럼 굴러가는 기분이야
"David Carradine, I'ma die when I cum","데이비드 캐러딘, 난 절정할 때 죽을 거야"
"In my bed, babe","내 침대에서, 자기야"
Slowly down the hall of fame,명예의 전당 복도를 천천히 내려가네
The more you want it,더더욱 원하게 돼
Another shot before we kiss the other side tonight,오늘 밤 우리가 다른 쪽에 키스하기 전 또 한 잔
A dangerously empty life,위험하게 공허한 삶
I stand a hundred feet,백 피트 떨어져 서 있어도
"Collect your soul, get it right","네 영혼을 모아, 바로잡아"
A part of me I'd never seen,내가 한 번도 보지 못한 내 한 조각
I just wonder what you're dreaming of,네가 무슨 꿈을 꾸는지 궁금해
Commas and them decimals,콤마와 그 소수점들
"Eh, eh, yeah","에, 에, 그래"
Should I drink up? Smoke up?,마실까? 피울까?
"I want it bad, your bad romance","난 간절히 원해, 네 거친 사랑을"
And every road you take,그리고 네가 가는 모든 길
"These days, I haven't been sleeping",요즘 난 잠을 못 자
Balanced on a thin line,가느다란 선 위에 균형을 잡고 있어
Can you feel the warmth? Yeah,따뜻함을 느낄 수 있니? 그래
"You know I know, there's only one place this could lead","너도 알잖아, 이게 어디로 향할지"
That makes me feel alive,나를 살아있게 만드는 것
"Don't wanna stop, give up",멈추거나 포기하고 싶지 않아
Cause you can't stop the motion of the ocean or the sun in the sky,넌 바다의 파도나 하늘의 태양을 멈출 수 없으니까
"No wind, no rain","바람도, 비도"
Don't want you back,널 다시 원하지 않아
Harder than holding you up now (now),지금 널 붙잡는 것보다 더 힘들어 (지금)
"Tell me what we got to fear (Got to fear, whoa)","우리가 무서워해야 할 게 무엇인지 말해줘 (무서워해야 해, 우아)"
You take me away,넌 날 데려가
"And nothing frightens me, baby, oh","그리고 아무것도 날 (오) 무섭게 하지 않아, 베이비, 오"
You said you wouldn't lie,넌 거짓말 안 한다고 했지
Dance with me,나와 춤춰줘
"Yeah, you got me","그래, 넌 날 사로잡았어"
Then it feels that always,그러면 항상 그렇게 느낄 거야
You are an expert at sorry,넌 사과에 능숙해
"She lookin', just look at her dancing (Look at her)","그녀는 보고 있어, 춤추는 걸 봐 (봐봐)"
Something ain't right,뭔가 좀 이상해
"(Sometimes, sometimes) No, no, no, no, no, no, no","(가끔은, 가끔은) 아니, 아니, 아니, 아니, 아니, 아니, 아니"
Preparing for another date,또 다른 데이트를 준비해
"I just wanna get way too high, let's set the mood (set the mood)","너무 취하고 싶어, 분위기 만들어보자 (분위기 만들어)"
She work for the money (works) from the start to the finish,그녀는 시작부터 끝까지 돈을 위해 일해
I'm on the edge with you,난 너와 함께 끝자락에 있어
"I think about you, wonder what went wrong","널 생각하며, 뭐가 잘못됐는지 궁금해"
"So keep texting me, but at night, if you seek those thrills","그래서 계속 내게 문자를 보내, 하지만 밤이 되면, 그 스릴을 찾으려고"
"Light a match, get litty, babe","성냥을 켜, 불붙여, 베이비"
Something that money can't buy,돈으로 살 수 없는 무언가
Was in a dark place back then,그땐 어두운 곳에 있었어
Your hazel-green tint eyes watching every move I make,네 엷은 녹색 눈이 내가 하는 모든 걸 지켜보고 있어
But you think that you're on your way,하지만 넌 네가 가는 길에 있다고 생각하지
"Baby, you're no good for me, darling","베이비, 넌 내게 좋지 않아, 내 사랑 (아)"
I hear the secrets that you keep (secrets that you keep),나는 네가 간직한 비밀을 들어 (네가 간직한 비밀을)
Having the time of your life,인생의 최고의 시간을 보내고 있어
Cause lookin' in your eyes is like lookin' at the sun,네 눈을 보는 건 태양을 보는 것 같으니까
"Sweet creature, sweet creature","사랑스런 존재여, 사랑스런 존재여"
It's like I can feel time movin,시간이 흐르는 걸 느낄 수 있는 것 같아
I knew,알았어
15 flares inside those ocean eyes,그 바다 같은 눈 속에 15개의 불꽃이 있어
Walking in a winter wonderland,겨울 원더랜드를 걷네
It's Iggy Iggs,이건 이기 이그스야
Keep your head down-down (keep your head down-down-down),머리는 숙여 (머리 숙여-숙여-숙여)
"Run it back, run it on back","다시 돌려, 다시 되돌려"
I'm just looking at the sky 'cause it's getting me high,"하늘만 바라보고 있어, 그게 날 취하게 하니까"
"It's never, it's never enough","절대, 절대 충분하지 않아"
All the towels are getting laundered,모든 수건이 빨래 중이야
Bad thoughts inside my mind,마음속에 나쁜 생각들이 있어
Tell me why are we wasting time,왜 우리가 시간을 낭비하는지 말해줘
You made me feel so good,넌 날 정말 기분 좋게 했어
As I was leaving too soon,내가 너무 빨리 떠나버렸을 때
Do you really wanna love me down like you say you do?,넌 정말 말하는 것처럼 날 사랑하고 싶어?
"I played my best for him, pa-rum-pa-pum-pum","그를 위해 최선을 다해 연주했어, 파럼파품품"
One thing in life you must understand,인생에서 반드시 알아야 할 한 가지
You were my everything,넌 내 전부였어
"That yummy-yum, that yummy-yummy","그 달콤함, 그 달콤달콤함"
"But it's time you met the real me, filthy","하지만 이제 진짜 나를 보여줄 시간이야, 더럽고 솔직하게"
So take a look what you've done (look what you've done),"자, 네가 한 일을 봐 (네가 한 일을 봐)"
"Here you are now, calling me up, but I don't know what to say",지금 넌 전화해 오지만 난 무슨 말을 해야 할지 모르겠어
"Yeah, play it again, play it again, play it again","그래, 다시 틀어, 다시 틀어, 다시 틀어"
If your love is with me,네 사랑이 내 곁에 있다면
"Show me your teeth, your teeth, teeth, teeth","네 이빨을 보여줘, 네 이빨, 이-이-이"
"It's hypnotic, the way you move",최면 같은 네 움직임
When I get caught I hope,붙잡힐 때 난 바라지
You knew that I was free,네가 내가 자유로운 걸 알았잖아
Saw the dark side of the moon,달의 어두운 면을 봤어
Before-ore-ore,비포-오어-오어
Then I met someone,그리고 난 누군가를 만났어
"Oh, all I used to do was pray","오, 난 예전엔 기도만 했어"
"Breakin' new laws, mama passed on home trainin","새 법을 깨고, 엄마는 집안 교육을 전했지"
But I grew stronger from the pain,난 고통에서 더 강해졌어
"Sorry, I just need to see you, I'm","미안해, 난 널 그냥 보고 싶어, 난"
Til the moment I sleep,내가 잠들 때까지
"She put you under, ah","그녀가 널 삼켰어, 아"
"Save up all your bread and fly Trans-Love Airways to San Francisco, USA",모든 빵값을 모아 Trans-Love 항공을 타고 미국 샌프란시스코로 와
Thinking 'bout everything we've been through,우리가 겪어온 모든 걸 생각하며
Cause you had a thing with some other man,왜냐면 넌 다른 남자와 얽혔었으니까
"JB on the beat, yeah yeah, I'm on the snare","JB가 비트에, 그래 그래, 난 스네어 위에 있어"
She is love,그녀는 사랑이야
"Oh baby I, I hope you hear a song","오 자기야, 네가 노래를 듣길 바래"
No matter what to do,뭘 해도 상관없어
"She said, where d'you wanna go?","그녀가 말했어, 어디 가고 싶냐고"
We've got nothing to show for it,보여줄 것도 없어
I would've stayed at home,집에 있었을 텐데
"I got all these legal toxins in my blood, and in my brain",내 피와 뇌 속엔 합법적인 독소가 가득해
"And now I miss you bad, really, really bad","그리고 이제 난 네가 너무 그리워, 정말, 정말 많이"
Stained glass windows in my mind,내 마음속의 스테인드글라스 창문들
Misty morning comes again and I can't help,안개 낀 아침이 다시 오고 난 어쩔 수 없어
And it feels like you've lost who you are,그리고 네가 누구인지 잃어버린 것 같아.
"And you've been getting closer and closer, and crossing so many lines","넌 점점 가까워지고, 많은 선을 넘어섰어"
"No matter where you go, know you're not alone","네가 어디에 가든, 너는 혼자가 아니라는 걸 알아"
Can I still love you?,내가 여전히 널 사랑할 수 있을까?
"Stone-hard, machine gun","단단해, 기관총처럼"
"Cause you're a sky, 'cause you're a sky full of stars","넌 하늘이니까, 별로 가득한 하늘이니까"
You know you can get whatever you want from me,넌 내가 가진 건 뭐든 가져갈 수 있다는 걸 알아
And I only spit heat 'cause I'm playin' for the Son,난 아들을 위해 노래하니 뜨겁게 뱉을 뿐이야
All the towels are getting laundered,모든 수건은 세탁되고 있어
And he just might make me smile,그리고 그는 어쩌면 날 웃게 만들지도 몰라
Love is where you find it,사랑은 네가 찾는 곳에 있어
Maybe you just hate the thought of me with someone new,아마도 넌 내가 다른 사람과 있는 생각이 싫은 거겠지
And I'd go back to December all the time,그리고 난 항상 12월로 돌아가
I like it when you take control,네가 통제할 때가 좋아
And Imma be your one guy,그리고 난 너의 유일한 남자가 될 거야
Why I've been crying over you,왜 내가 너 때문에 울고 있었는지
Just how we ended up alright,우리가 이렇게 괜찮게 끝난 이유
"Oh, killing it, oh, as long as I got you (Killing it)","그러니 비켜줘, 달링"
I feel the heat as we collide,충돌할 때 난 열기를 느껴
I know a galaxy and I can take you for a ride,"난 은하계를 알고 있어, 그리고 널 태우고 달릴 수 있어"
The truth of lust woman to man,여자의 욕망이 남자에게 향하는 진실
Burning it down,태워버렸어
They say he's homosexual,사람들은 그가 동성애자라고 말해
Cause you make me feel like,네가 나를 기분 좋게 만들어줘서.
I'm thinking of things that I just can't abide,참을 수 없는 생각들이 떠올라
Stars in her eyes,눈에 별이 반짝여
"She was sleepin' in your clothes (in your clothes, in your clothes)","그녀는 네 옷을 입고 잠들었어 (네 옷, 네 옷 안에서)"
"Slow grindin', I'm twerkin' it","천천히 흔들며, 난 트월킹해"
Cause I knew everything when I was young,난 어렸을 때 모든 걸 알고 있었어
They're makin' you cold in the night,그들은 밤에 널 차갑게 만들고
All I ever wanted was love,내가 원했던 건 오직 사랑뿐이었어
"Giving me your weekends, I","주말을 내게 주고, 난"
"Everyone inside my life that loved me, I just pushed away",내 인생에서 날 사랑했던 모든 이들을 난 밀어냈어
About you,너에 관해
DJ Khaled,디제이 칼리드
Achilles and his gold,아킬레우스와 그의 황금
You'll be Prince and I'm the crying dove,넌 왕자가 되고 난 웁는 비둘기일 거야
She ch-ch-ch-ch-choosing the squad,그녀는 팀을 고르고 있어
So you know mi got fi swing,그래서 난 흔들어야만 해
"Ooh, now I'll make you feel","오, 이제 널 느끼게 해줄게"
And nothing else compares,그리고 다른 어떤 것도 비교가 안 돼.
"Now she sings along, when you play guitar","이제 그녀는 노래해, 네가 기타 칠 때"
Cause you'll find a man who will stand by your side,왜냐면 넌 네 곁을 지켜줄 남자를 찾게 될 테니까
"Yeah, I remember back home","그래, 집이 그리워"
"Even after three times, he betrays me",세 번이고 배신당해도
Cuddle up baby,껴안아줘 베이비
You got me in love again,넌 다시 날 사랑에 빠지게 했어
I gotta give up,난 포기해야 해
Would you please have mercy on me?,"제발, 내게 자비를 베풀어줄래?"
Let's go dancing in the dark,어둠 속에서 춤추러 가자
"It's always us, never them","항상 우리였지, 그들이 아니었어"
Dua's got that real groove,두아는 진짜 그루브를 가지고 있어
There are people dying,사람들이 죽어가고 있어
Tears were for the weaker days,눈물은 약한 날을 위한 것이었어
My whole life got me ready for you,내 인생 전부가 널 위해 준비돼 있었어
"When I make it there (I make it there, hey)","내가 거기에 도달하면 (내가 거기에 도달해, 헤이)"
"You could be my Destiny's Child on the scene, girl","넌 내 무대 위의 디스티니스 차일드가 될 수도 있어, 소녀야"
And just know that I do,그리고 내가 그렇다는 걸 알아줘
When we're out together dancing cheek to cheek,우리가 함께 뺨에 뺨을 맞대고 춤출 때
"Look at my natural, I'm so exotic","내 본모습을 봐, 나는 너무도 이국적이야"
"Don't say to me, you'll never tell","내게 말하지 마, 절대 말하지 않을 거라고"
How come you look so cool?,어쩜 그렇게 멋있어 보여?
Out here with the moves like I invented smooth,여기선 동작들이 있어 마치 내가 스무스를 발명한 듯
"And mean, and mean, and mean, and mean","못되고, 못되고, 못되고, 못되고"
There are people dying,사람들이 죽어가고 있어
Would you please have mercy on me?,제발 내게 자비를 베풀어줄래?
I'll put his picture down,그의 사진을 내려놔
A million little shining stars had just aligned,수백만의 반짝이는 작은 별들이 방금 정렬했어
They want what I'm sittin' on,그들이 내가 앉아 있는 걸 원해
Don't stop me I can't refuse,"날 멈추지 마, 난 거절할 수 없어"
"Baby, just shout it out, yeah","베이비, 그냥 소리쳐, 응"
When I'm made for not unbreakable,내가 깨지지 않는 존재로 만들어지지 않았을 때
"Baby, just say ""Pretty please"" (pretty please), yo","베이비, 그냥 말해 ""제발 예쁘게"" (제발 예쁘게), 요"
My sleepless night,내 잠 못 이루는 밤
"When I back it up, I put you in a trance",내가 몸을 뒤로 젖히면 널 황홀하게 만들어 (우)
('Cause we wanna live the life of the) rich and famous,(왜냐면 우린 부자와 유명인의 삶을 살고 싶으니까)
No!,싫어!
"(He used to say) when we ride, we ride","(그가 말하곤 했어) 우리가 함께할 때, 우린 함께해"
"Finally, I find way to talk to the girl but she no wan follow","마침내, 난 그녀와 말할 길을 찾았지만 그녀는 따르려 하지 않아"
But I can't stop staring at your face,하지만 난 네 얼굴을 바라보는 걸 멈출 수 없어
Every time I close my eyes,눈을 감을 때마다
Just scream out and shout,그냥 소리 질러 외쳐봐.
"I found a love, for me",나에게 사랑을 찾았어
The way I did before,전에 내가 했던 방식처럼
"Man, fuck yo' pride","젠장, 네 자존심은 필요 없어"
We know that you got it from me,넌 그걸 내게서 얻었다는 걸 알아
I'm prepared to sacrifice my life,내 삶을 기꺼이 희생할 준비가 돼 있어
Now I've heard that you're single,이제 네가 싱글이라는 걸 들었어
Cause if you ever need a friend you know I'll be it,만약 네가 친구가 필요하면 내가 될 거란 걸 알잖아
"And I could be a gentleman, anything you want","난 신사가 될 수 있어, 네가 원하는 건 뭐든"
Cause when we were together,우리가 함께였을 때
I'll be there to save the day,내가 와서 그 날을 구할게
And I'll look back and regret,그리고 난 뒤돌아보며 후회할 거야
If you don't then lie,거짓말을 하지 않겠다면
"In the heat of the fight, I walked away","싸움이 뜨거울 때, 내가 걸어나갔어"
"Ba-da, bam-bam-bam-bam","바-다, 밤-밤-밤-밤"
I don't want it,난 그걸 원하지 않아
"And I know when I need it I can count on you like four, three, two","그리고 난 내가 필요할 때, 널 믿을 수 있다는 걸 알아, 마치 4, 3, 2처럼"
"If I'm louder, would you see me?","내가 더 크게 외치면, 날 볼 수 있겠니?"
"Woah oh, hm","워우 오, 흠"
"I keep pushin' forwards, but he keeps pullin' me backwards","난 앞으로 나아가려 하지만, 그는 날 자꾸 뒤로 끌어당겨"
Nobody's business,아무도 신경 쓸 일이 아니야
Tell me if you really love me,정말 나를 사랑하는지 말해줘
And I know you stay by my side,그리고 난 네가 내 곁에 있을 거란 걸 알아
Make sure you get left 'forе you leave,떠나기 전에 반드시 널 두고 가게 해
No life jacket I'm not the guard in Nazareth,구명조끼도 없고 나는 나사렛의 수호자가 아니야
"Every time I knock, he can't help but let me in",내가 두드릴 때마다 그는 날 들이지 않을 수 없어
"Yeah, we were riding a wave, and trying not to drown","그래, 우린 파도에 올라탔고, 익사하지 않으려 애썼어"
Living in devotion,헌신 속에 살아
"I drink 'til I'm drunk ('til I'm drunk),","취할 때까지 마셔 (취할 때까지),"
Let's go see The Killers,킬러스 공연 보러 가자
Will find it hard to sleep tonight,오늘 밤 잠들기 어려울 거야
Through my joy and my sorrow,나의 기쁨과 슬픔을 통해
Til the end of time,영원히
I'm leaving all that I see,내가 보는 모든 것을 떠나고 있어
Kilome-kilome,킬로메-킬로메
I was cryin' in a getaway car,난 도주차 안에서 울고 있었어
"You are free, free","넌 자유야, 자유야"
"You know I'm like a ghost, I see it in your face","넌 내가 유령 같다는 걸 알지, 네 얼굴에서 보여"
"Ever since the-the day you you ran away (no, I don't know how)","네가 달아난 그날 이후로 (아니, 난 방법을 몰라)"
Know we're good enough,우리가 충분하단 걸 알아
And now the times are changin,이제 시간이 변하고 있어
Something that money can't buy,돈으로 살 수 없는 무언가
You think we're fallin' in love,넌 우리가 사랑에 빠졌다고 생각해
And will you still want me,그럼에도 넌 여전히 날 원할까
It is believing,그건 믿음이야
"You and me can make it up, anyway",너와 나는 어떻게든 이겨낼 수 있어
You can fly away with me tonight,오늘 밤 너와 함께 날아갈 수 있어
You know I try but I don't do too well with apologies,난 노력하지만 사과하는 건 잘 못해
(Take me dancing tonight),(오늘 밤 날 데리고 춤춰줘)
Does it take to get smarter?,해야 더 똑똑해질까?
I'm reaching out in hopes that you reach for me too,네가 나를 향해 손을 뻗길 바라며 손을 내밀어
In hopes you're on the other side talking to me too,네가 저편에서 내게 얘기하길 바라며
And I'll give it to you,그리고 난 그걸 줄게
Garage glamorous,차고에서 빛나는 화려함
The girl that now is dead,이제 죽은 소녀
It feels like it's perfect,완벽한 것 같은 기분이야
I'm so glad that you're still with us,네가 여전히 우리와 함께해줘서 정말 다행이야
Lovely where we're at,우리가 있는 곳은 사랑스럽고 (오)
"You've got, oh, you've got a higher","넌, 오, 넌 더 높은 힘을 가졌어"
It's multiple choice and they all wanna test me,"객관식 문제야, 모두가 날 시험하고 싶어 해"
"Sigue, sigue bailando (hay amor en todos lados)","시게, 시게 바이란도 (사랑은 어디에나 있어)"
"We'd be good, we'd be great together","우린 괜찮을 거야, 우린 함께라면 최고일 거야"
"Like I always do, always do","늘 해왔듯이, 늘 해왔듯이"
Cause it seems to me,내겐 그렇게 보여
A thorn without a rose,장미 없는 가시
Sticks and stones may break my bones,막대와 돌이 내 뼈를 부술지도 몰라
"You took me down, down, down, down","넌 나를 끌어내렸어, 내려, 내려, 내려"
And we both struggled to commit,그리고 우리 둘 다 헌신하기 위해 싸워왔어
I can smell your sweet perfume,네 달콤한 향수를 맡을 수 있어
You make me feel much better,넌 날 훨씬 더 좋게 만들어
This boy is electric,이 소년은 전기 같아 (음)
Did you ever have someone kiss you in a crowded room,혼잡한 방에서 누군가가 널 키스한 적 있어?
"Well, open up your mind and see like me","자, 네 마음을 열고 나처럼 봐"
"(Fucking with my, fucking with my feelings)","(내 감정을, 내 감정을 갖고 장난치며)"
And maybe we should just let it be,그냥 내버려 두는 게 좋을지도 몰라
"Oh, no, I was doing better alone","오, 안 돼, 혼자가 더 나았어"
And my spirit never free,내 영혼은 자유롭지 않았어
I hear your voice so,네 목소리가 너무 선명히 들려
There's a cold war coming,차가운 전쟁이 오고 있어
"Got you stuck up in my head, yeah","네가 내 머릿속에 박혀 있어, 그래"
"Spend every dime, haffi spend every dime, oh oh","모든 돈을 써야 해, 모든 돈을 써야 해, 오 오"
And Batman with his fists,그리고 주먹을 가진 배트맨
Tellin' me how much you miss me,날 얼마나 그리워했는지 말하네
"Like starlight, starlight","별빛처럼, 별빛처럼"
"This love is difficult, but it's real","이 사랑은 어렵지만, 진짜야"
You know I never meant to cut you off,널 끊으려던 건 절대 아니었다는 걸 넌 알지
"Now don't you worry, it won't be long","걱정하지 마, 오래 걸리지 않을 거야"
Fate on my side and I ain't gonna die,"운명이 내 편, 난 죽지 않아"
And now I don't want to lose this shit we got goin' on,이제 난 우리가 가진 이걸 잃고 싶지 않아
I'm sorry that I'm not there to give you what you want,네가 원하는 걸 주지 못해 미안해
My god is gonna owe me,내 신은 내게 빚을 질 거야
"I should be chilling with my folks, I know",가족들과 쉬어야 하는 거 알아
Find a place to feel good,좋은 기분을 느낄 수 있는 곳을 찾아
This hope is treacherous,이 희망은 배신이야
"I'm bigger, and you're bigger, whoa","난 더 커, 그리고 너도 더 커, 와우"
"Ocean blue eyes, lookin' in mine","바다빛 푸른 눈, 내 눈을 바라보네"
We're gonna light the fuse in us,우린 우리 안의 불꽃을 터뜨릴 거야
Not where the story line ends,그 이야기가 끝나는 곳은 아니야
"Up, oh-oh-oh-oh","위로, 오-오-오-오"
I remember when we were kids,우리가 아이였을 때를 기억해
Cause if you're gonna love me and leave me hanging here,네가 날 사랑하고 (오) 날 이렇게 매달아 놓을 거라면
Like you live for me,마치 나를 위해 사는 것처럼
For handing you a heart worth breaking,깨질 가치가 있는 마음을 너에게 건네며
I had a premonition that we fell into a rhythm,리듬에 빠졌다는 예감이 들었어
"I guess we're ready for the summer (ah-ah, hey)","여름을 맞을 준비가 된 것 같아 (아-아, 헤이)"
And even though you got good intentions,네가 선의가 있더라도
It's never enough,절대 충분하지 않아
break my heart,(오) 내 마음을 부숴
"Both arms, yeah (Both sides in here)","양팔, 그래 (양쪽 다 여기)"
"Still if he knew I was here, he'd wanna kill me",그래도 그가 내가 여기 있는 걸 알면 날 죽이려 하겠지
Right on the limit's where we know we both belong tonight,"경계선 위, 우리가 속한 곳"
I'm so glad that you came,네가 와줘서 정말 기뻐
This one's for all the lost children,이건 길 잃은 모든 아이들을 위한 거야
You see the piece of paper,넌 종이 한 장을 보게 돼
I know I can treat you better,난 네게 더 잘해줄 수 있다는 걸 알아
I know I'm super fly (I know it),난 내가 엄청 멋진 줄 알아 (알아)
I just keep on dancin,난 그저 계속 춤춰
"With you, under the mistletoe","너와 함께, 겨울 키스 아래"
"Oh-oh (wanna talk to her, she's hot as hell)","오-오 (그녀와 얘기하고 싶어, 그녀는 지옥처럼 뜨거워)"
I remember the smell of your skin,네 피부의 향기를 기억해
I met the man on the moon,달에서 그 남자를 만났어
The second you say that you'd like me to,네가 날 원한다고 말하는 순간
(Now I'm wide awake),(이제 완전히 깨어있어)
You take up every corner of my mind (what ya gon' do now?),넌 내 마음 구석구석을 차지해 (이제 뭘 할 거야?)
"For a second, I was in control","잠깐 동안, 내가 통제하고 있었어"
I do what I want when I'm wanting to,난 하고 싶을 때 내가 하고 싶은 걸 해
You will never judge me for that,그걸로 넌 절대 날 판단하지 않을 거야 (어-어)
I am not always you,난 늘 네가 아니고
Come on!,"자, 어서!"
Lady our love will shine,"우리의 사랑은 빛날 거야, 레이디"
"I got a bad boy, I must admit it","나쁜 남자 갖고 있어, 인정해야 해 (헤이)"
"This thing is breaking down, we almost never speak","이 관계는 무너지고 있어, 우린 거의 말도 하지 않아"
Let me remind you,다시 상기시켜줄게
"Yeah, why can't we just get along?","그래, 왜 우린 그냥 사이좋게 지내지 못할까?"
"Switchin' position, duckin' submission","자세를 바꾸고, 굴복을 피하고"
Take my hand for the night and your feelings will be right,"밤을 위한 내 손을 잡아, 네 감정이 올바르게 흘러갈 거야"
"Be your lover, your friend, you'll find it all in me","네 연인, 네 친구가 되어줄게, 넌 내 안에서 다 찾을 거야"
"Yeah, you turn me away","그래, 넌 날 밀어내"
Would he hold you when you're feeling low?,네가 기분이 안 좋을 때 그가 널 안아주겠니?
And your eyes keep saying things,네 눈은 계속 무언가를 말하고 있어
Don't know what it's worth 'til you pay the price,대가를 치러야 그 가치를 알지
"That it used to be? (Oh, yeah)","예전 같았던 거니? (오, 그래)"
"Ooh, baby, don't keep me (waiting)","오, 베이비, 날 기다리게 하지 마"
"Ooh, maybe we could do it tonight","오, 어쩌면 오늘 밤 해볼 수 있을지도"
"In the kitchen, up on the table","부엌에서, 탁자 위에 올라가"
I can't believe what you're sayin,네가 말하는 걸 믿을 수가 없어
Take off all your clothes,옷을 전부 벗어
Your heart is unavailable,네 마음은 닿을 수 없는 곳에 있어
The only one who's got enough of me to break my heart,내 마음을 부술 수 있을 만큼 나를 충분히 가진 유일한 사람
"I am a poor boy too, pa-rum-pa-pum-pum","나도 가난한 소년이야, 파럼파품품"
And though I find myself attracted to you,네게 끌리는 나 자신을 발견해도
I need you the most,네가 가장 필요해
Split the difference if it's still good,아직 괜찮다면 차이점을 나눠
"As long as I am perfect in your eyes, your eyes","내가 네 눈에 완벽하기만 하면, 네 눈에"
"Dum dum, da-di-da","덤 덤, 다디다"
